x,y,R_std
1,0.01160821507126093,0.005635996756744912
2,0.01082223320379853,0.006126903450683852
3,0.006452730235954125,0.0023044875353323523
4,0.0041809870619326835,0.004661258477958958
5,0.01021400323882699,0.00890144808365801
6,0.006615804433822633,0.006005276914465594
7,0.01567117319558747,0.007066639082782592
8,0.010998016152530907,0.0071861182277699436
9,0.010884304990991949,0.008272775394589493
10,0.006499345207121222,0.005919481162006344
11,0.012390678289812058,0.007957908529810211
12,0.013765194319188595,0.011501571745471492
13,0.010821587881073355,0.0070298059033133955
14,0.012858142383130534,0.004009580790802266
15,0.00967788864299655,0.00539665875940882
16,0.009634943388934645,0.009838236193486793
17,0.01275328531861305,0.007337128390017138
18,0.011135766760446131,0.008201664022161347
19,0.010099561717361212,0.009266121233450159
20,0.013438312143087388,0.010885769529223167
21,0.01581192122772336,0.007176140863554581
22,0.012979178030043842,0.009659762088993662
23,0.011582884605042637,0.009712102926651828
24,0.009387869104743004,0.005397518715517295
25,0.008498141348361968,0.006068132501829522
26,0.008688931815326215,0.007008535804101292
27,0.012793182511813939,0.013106788091238419
28,0.009785640039481222,0.006327670377771648
29,0.007905609168112279,0.0062768551930045356
30,0.010389299299567936,0.006960829392322776
31,0.014643559070304037,0.008253567526844953
32,0.013536646695186694,0.00886108975404319
33,0.011968423202633856,0.006757738541331977
34,0.01028341086488217,0.008637675632598825
35,0.01339594259485602,0.009018572053217872
36,0.009901094247276586,0.00962129083972514
37,0.008566284347325563,0.007131154141685553
38,0.010752080987440422,0.006182857164980713
39,0.008448964066420948,0.008418738411348103
40,0.010477202762849629,0.00629989368196964
41,0.01779697386198677,0.010383009001968143
42,0.009690571408718825,0.005466313370406198
43,0.009530999371781946,0.00615140520235621
44,0.009848956793546675,0.005769268215537727
45,0.015247578580553332,0.012195279947114744
46,0.010307075172895567,0.005822397888258927
47,0.015999221809906882,0.01296650140042956
48,0.012066445453092454,0.007020421780991322
49,0.0091147181391716,0.007309429732105085
50,0.014127390397091707,0.010869054349005527
51,0.013406453547733168,0.009012904699885985
52,0.01357720122983058,0.006740026062589803
53,0.006674573389547212,0.004643145475554085
54,0.013814507396891712,0.007525436517804015
55,0.010723291477188469,0.010833935899923385
56,0.010119425430893897,0.004771051855005314
57,0.010891102363821119,0.007504158271915806
58,0.010961674820864572,0.012292955121208048
59,0.00891576563939452,0.005707984562297937
60,0.012057731114327907,0.010049900215659447
61,0.00823445558795356,0.006788796326519236
62,0.008791349524011213,0.005681161978658472
63,0.0062065299979622065,0.006763218444557464
64,0.00778206426029404,0.006207703430154698
65,0.005808260474586859,0.006076206589321444
66,0.0048792494732576115,0.002619033909237778
67,0.009937460184363383,0.004208648715328787
68,0.009604340447112919,0.007598030286439797
69,0.006666315235197543,0.005138383305120973
70,0.010691850889561465,0.00855878291986894
71,0.012041151486337186,0.0075360041523129485
72,0.011029053439075748,0.010195067303843239
73,0.008346570675660456,0.005678670464020826
74,0.008710203183194001,0.009351847485708786
75,0.010677883485332131,0.007934011444140849
76,0.005751327904290519,0.007974289231120459
77,0.010401870807011923,0.006341177319337556
78,0.012885772828012704,0.007620209815978653
79,0.014663422306378682,0.01050490551503765
80,0.006585244685411453,0.008565788672214402
81,0.006249111823029428,0.005709611386496064
82,0.005253801992512308,0.0033368720680369136
83,0.012673248364008032,0.009093172329653725
