x,y,R_std
1,0.015751338,0.008856186
2,0.01516178,0.010304319
3,0.018132555,0.011444933
4,0.015458036,0.017614332
5,0.022492299,0.015478427
6,0.02040354,0.010569364
7,0.019337544,0.014276005
8,0.019316547,0.016254183
9,0.010222596,0.008943292
10,0.015252126,0.004337392
11,0.015964442,0.010095559
12,0.014126534,0.011264899
13,0.016201442,0.00888588
14,0.018992947,0.015272451
15,0.017556009,0.010566608
16,0.015446242,0.00717523
17,0.017748655,0.009794733
18,0.016000242,0.013427892
19,0.02399777,0.017064225
20,0.015604803,0.017187964
21,0.012915963,0.00994651
22,0.011298969,0.010317362
23,0.020892632,0.0165565
24,0.014041979,0.013320143
25,0.020577395,0.008355728
26,0.013397225,0.013004944
27,0.017960752,0.016221447
28,0.020729581,0.011372904
29,0.016521505,0.011905201
30,0.02251505,0.010206743
31,0.01455921,0.011375803
32,0.0123608,0.01391795
33,0.020170059,0.0153631
34,0.017872516,0.006564349
35,0.01106672,0.004790208
36,0.016866619,0.011142091
37,0.012629268,0.008597381
38,0.019610987,0.016830829
39,0.013213556,0.009150849
40,0.016772937,0.010701843
41,0.016677679,0.012826672
42,0.009784688,0.006925173
43,0.010481912,0.007224187
44,0.014184093,0.008607561
45,0.015094249,0.007303942
46,0.011193336,0.006891155
47,0.011342648,0.009179546
48,0.009103117,0.007257712
49,0.005765659,0.005361789
50,0.013443333,0.009735501
51,0.018275449,0.015742509
52,0.012527777,0.012675658
53,0.010729038,0.009891063
54,0.014922831,0.011437317
55,0.01151229,0.009511694
56,0.020081768,0.009440324
57,0.015109853,0.009998267
58,0.022142682,0.007907852
59,0.011382945,0.008691525
60,0.008981222,0.006851958
61,0.017482587,0.009315808
62,0.013579861,0.01449881
63,0.013961331,0.011375102
64,0.023014585,0.015774872
65,0.018649638,0.008955927
66,0.009010646,0.005453038
67,0.018440894,0.011110441
68,0.020484636,0.012729039
69,0.015837752,0.013956683
70,0.012854598,0.005707538
71,0.021428801,0.011732022
72,0.017628938,0.017921469
73,0.013152735,0.008491749
74,0.016530391,0.008488175
75,0.014498819,0.013499071
76,0.014142805,0.010330322
77,0.013572979,0.010799522
78,0.012217402,0.010471481
79,0.005913642,0.005917145
80,0.014563225,0.013871842
81,0.013209049,0.015032241
82,0.012193796,0.008351835
83,0.014454521,0.013218718
84,0.014484231,0.009295171
85,0.013233023,0.008484174
86,0.01250793,0.0120944
87,0.011644366,0.008009639
88,0.020258588,0.011000531
89,0.022176541,0.014473131
90,0.012237123,0.007741212
91,0.023770303,0.007474699
92,0.01739186,0.010218352
93,0.018336468,0.006819733
94,0.012695236,0.008486607
95,0.017778723,0.013044295
96,0.020751338,0.011699708
97,0.023241875,0.014551966
98,0.016367064,0.013199743
99,0.013281853,0.011614868
100,0.021413682,0.009574864
101,0.019378085,0.011660682
102,0.018331122,0.015481631
103,0.009311409,0.011722944
104,0.016641269,0.011073612
105,0.019772079,0.00593333
106,0.019644637,0.011981887
107,0.011362793,0.008558755
108,0.020756084,0.012465066
109,0.013074232,0.007307123
110,0.013287683,0.009489426
111,0.02601485,0.015469892
112,0.020517266,0.013127111
113,0.021271464,0.009656845
114,0.011275567,0.008984568
115,0.018422396,0.017977968
116,0.015135235,0.015358705
117,0.016423089,0.009589654
118,0.023590366,0.012663421
119,0.021769228,0.014267525
120,0.018667755,0.007356451
121,0.01186759,0.010550749
122,0.018358458,0.013086208
123,0.018224785,0.009502268
124,0.011218474,0.011332467
125,0.009171221,0.007575283
126,0.018139794,0.016984015
127,0.022275078,0.014360181
128,0.010691765,0.008354903
129,0.010241576,0.006605481
130,0.016648031,0.010708858
131,0.016703443,0.011372175
132,0.014909036,0.010021086
133,0.018210365,0.013270635
134,0.013971576,0.014187484
135,0.00901398,0.008461592
136,0.021107178,0.012565772
137,0.011605122,0.010006059
138,0.010759356,0.005918592
139,0.017885437,0.011832972
140,0.010275141,0.006620256
141,0.02376423,0.01629779
142,0.024158834,0.013779111
143,0.020206338,0.017062475
144,0.020024749,0.017103725
145,0.013586848,0.012510208
146,0.011137496,0.008561786
147,0.020834756,0.014199778
148,0.018112486,0.012749659
149,0.008353224,0.008616225
150,0.017490612,0.009807262
151,0.019070446,0.016932845
152,0.015320414,0.012004018
153,0.009772202,0.005721294
154,0.015326791,0.007037608
155,0.018339353,0.010779069
156,0.016548429,0.008375614
157,0.010831959,0.007039231
158,0.011009708,0.010266584
159,0.010761147,0.004495884
160,0.013964777,0.008565046
161,0.020070471,0.004098035
162,0.019441505,0.010331996
163,0.017682887,0.013652943
164,0.012886591,0.00694217
165,0.015401364,0.008022234
166,0.008316177,0.006982544
167,0.015929037,0.009825758
168,0.022335268,0.007254316
169,0.016747835,0.015147175
170,0.018501791,0.012160209
171,0.017473733,0.017045288
172,0.020457091,0.009680513
173,0.0281287,0.016289643
174,0.025554202,0.022663966
175,0.019949193,0.011336347
176,0.015649149,0.005363196
177,0.022391126,0.010113324
178,0.020325852,0.012217873
179,0.02033154,0.010390251
180,0.017299865,0.017690971
181,0.010297073,0.010352285
182,0.016785682,0.012031069
183,0.016563665,0.010719338
184,0.017230706,0.010156255
185,0.020915411,0.012839029
186,0.018960422,0.009337999
187,0.025924374,0.011616928
188,0.015516357,0.010090946
189,0.020019293,0.010436308
190,0.019173937,0.013886345
191,0.023511543,0.011699633
192,0.013621906,0.010771401
193,0.018266548,0.015818983
194,0.029014167,0.01649032
195,0.02329225,0.014538007
196,0.014551932,0.004933798
197,0.016517235,0.010205388
198,0.015448864,0.010237129
199,0.014450793,0.012167892
200,0.016557504,0.014575382
