x,y
0.0,10.0
4.872843623161316e-06,10.0
4.887580871582031e-06,10.0
6.290197372436523e-06,10.0
6.804771721363068e-06,10.0
8.731484413146973e-06,10.0
1.0147646069526673e-05,10.0
1.1259645223617555e-05,10.0
1.2438833713531494e-05,10.0
1.2693464756011964e-05,10.0
1.2874245643615723e-05,10.0
1.3459220528602601e-05,10.0
1.3511165976524354e-05,10.0
1.5164509415626526e-05,10.0
1.6618579626083376e-05,10.0
1.9273221492767334e-05,10.0
2.1387085318565367e-05,10.0
2.210313081741333e-05,10.0
2.2304922342300414e-05,10.0
2.2391930222511293e-05,10.0
2.3614615201950073e-05,10.0
2.484425902366638e-05,10.0
2.578074485063553e-05,10.0
2.5828346610069277e-05,10.0
2.610945701599121e-05,10.0
2.765476703643799e-05,10.0
2.8900645673274996e-05,10.0
3.059634566307068e-05,10.0
3.188450634479523e-05,10.0
3.282056748867035e-05,10.0
3.336825221776962e-05,10.0
3.525243699550629e-05,10.0
3.545375168323517e-05,10.0
3.708592057228088e-05,10.0
3.7745684385299685e-05,10.0
3.806383907794953e-05,10.0
3.9176784455776215e-05,10.0
4.182820022106171e-05,10.0
4.355497658252716e-05,10.0
4.5079097151756285e-05,10.0
4.602709412574768e-05,10.0
4.6568892896175385e-05,10.0
4.820148646831512e-05,10.0
4.895102977752686e-05,10.0
4.9231231212615965e-05,10.0
5.0442151725292204e-05,10.0
5.177561938762665e-05,10.0
5.3515665233135225e-05,10.0
5.3865134716033935e-05,10.0
5.417915433645248e-05,10.0
5.5228590965270996e-05,10.0
5.601799488067627e-05,10.0
5.6077912449836735e-05,10.0
5.865544080734253e-05,10.0
5.9152707457542424e-05,10.0
6.094568967819214e-05,10.0
6.181389093399048e-05,10.0
6.23347908258438e-05,10.0
6.347507238388061e-05,10.0
6.363087892532349e-05,10.0
6.379283964633942e-05,10.0
6.435105204582214e-05,10.0
6.51615560054779e-05,10.0
6.534430384635925e-05,10.0
6.63338378071785e-05,10.0
6.758403778076172e-05,10.0
6.836159527301788e-05,10.0
6.862094998359681e-05,10.0
6.94962739944458e-05,10.0
7.005253434181213e-05,10.0
7.089057564735413e-05,10.0
7.092311978340148e-05,10.0
7.140375673770904e-05,10.0
7.163451611995697e-05,10.0
7.206474244594574e-05,10.0
7.358957827091217e-05,10.0
7.395271956920623e-05,10.0
7.406859099864959e-05,10.0
7.421015202999114e-05,10.0
7.421267032623292e-05,10.0
7.473738491535187e-05,10.0
7.562091946601867e-05,10.0
7.617360353469849e-05,10.0
7.676973938941956e-05,10.0
7.678315043449402e-05,10.0
7.683168351650239e-05,10.0
7.695996761322021e-05,10.0
7.757903635501862e-05,10.0
7.77452290058136e-05,10.0
7.840496301651e-05,10.0
7.886739075183868e-05,10.0
7.938052713871002e-05,10.0
7.964640855789185e-05,10.0
7.997085899114608e-05,10.0
8.016330003738403e-05,10.0
8.14974308013916e-05,10.0
8.151935040950776e-05,10.0
8.223973214626313e-05,10.0
8.22615921497345e-05,10.0
8.405660092830658e-05,10.0
8.443863689899445e-05,10.0
8.459053188562394e-05,10.0
8.484406769275665e-05,10.0
8.498358726501465e-05,10.0
8.585289120674133e-05,10.0
8.615891635417938e-05,10.0
8.703091740608216e-05,10.0
8.714035153388978e-05,10.0
8.719629049301148e-05,10.0
8.746638894081116e-05,10.0
8.755889534950256e-05,10.0
8.761090040206909e-05,10.0
8.977800607681275e-05,10.0
8.985397219657899e-05,10.0
9.098836779594422e-05,10.0
9.219126403331757e-05,10.0
9.242646396160126e-05,10.0
9.322094917297364e-05,10.0
9.326156973838806e-05,10.0
9.477417171001434e-05,10.0
9.585905075073242e-05,10.0
9.730362892150878e-05,10.0
9.8219633102417e-05,10.0
0.00010023216903209687,10.0
0.00010039867460727692,10.0
0.00010261005163192749,10.0
0.0001076897531747818,10.0
0.00010804708302021027,10.0
