x,y,R_std,y_hi,y_lo
111,4.90E-05,3.66E-05,8.56E-05,1.24E-05
112,5.38E-05,1.69E-05,7.07E-05,3.69E-05
113,4.94E-05,4.19E-05,9.13E-05,7.50E-06
114,5.70E-05,2.93E-05,8.63E-05,2.77E-05
115,5.39E-05,1.50E-05,6.89E-05,3.89E-05
116,7.45E-05,5.66E-05,1.31E-04,1.79E-05
117,7.19E-05,4.52E-05,1.17E-04,2.67E-05
118,6.88E-05,4.59E-05,1.15E-04,2.29E-05
119,5.96E-05,4.94E-05,1.09E-04,1.02E-05
120,9.49E-05,5.23E-05,1.47E-04,4.26E-05
121,9.22E-05,5.11E-05,1.43E-04,4.11E-05
122,7.30E-05,4.67E-05,1.20E-04,2.63E-05
123,0.00012597,5.37E-05,1.80E-04,7.23E-05
124,0.00013125,4.54E-05,1.77E-04,8.59E-05
125,0.000125714,6.89E-05,1.95E-04,5.68E-05
126,6.61E-05,6.72E-05,1.33E-04,-1.10E-06
127,5.10E-05,1.29E-05,6.39E-05,3.81E-05
128,0.000111879,7.05E-05,1.82E-04,4.14E-05
129,0.000152977,7.16E-05,2.25E-04,8.14E-05
130,0.000104075,9.95E-05,2.04E-04,4.57E-06
131,0.000154926,5.82E-05,2.13E-04,9.67E-05
132,0.000109219,6.84E-05,1.78E-04,4.08E-05
133,0.000110066,7.53E-05,1.85E-04,3.48E-05
134,0.000169073,4.58E-05,2.15E-04,1.23E-04
135,9.53E-05,5.75E-05,1.53E-04,3.78E-05
136,0.000180727,9.31E-06,1.90E-04,1.71E-04
137,0.000174948,0.000203008,3.78E-04,-2.81E-05
138,0.000112908,5.04E-05,1.63E-04,6.25E-05
139,0.000261218,0.000154777,4.16E-04,1.06E-04
140,0.000146291,0.000204171,3.50E-04,-5.79E-05
141,0.000198259,0.000156719,3.55E-04,4.15E-05
142,0.000267453,0.000224809,4.92E-04,4.26E-05
143,0.000192892,0.000168964,3.62E-04,2.39E-05
144,0.000241181,0.000210487,4.52E-04,3.07E-05
145,0.000251658,0.000141691,3.93E-04,1.10E-04
146,0.000283114,0.000203615,4.87E-04,7.95E-05
147,0.000201282,0.000183513,3.85E-04,1.78E-05
148,0.000278476,0.000143168,4.22E-04,1.35E-04
149,0.000249335,0.000221767,4.71E-04,2.76E-05
150,0.000356116,0.000174345,5.30E-04,1.82E-04
151,0.000244032,0.000192227,4.36E-04,5.18E-05
152,0.000460068,0.000126947,5.87E-04,3.33E-04
153,0.000205535,0.000185442,3.91E-04,2.01E-05
154,0.000401463,0.000155161,5.57E-04,2.46E-04
155,0.000204473,0.000180597,3.85E-04,2.39E-05
156,0.0004375,0.000158892,5.96E-04,2.79E-04
157,0.000203235,0.000195989,3.99E-04,7.25E-06
158,0.000457865,0.000162712,6.21E-04,2.95E-04
159,0.000293064,0.000189824,4.83E-04,1.03E-04
160,0.000471193,0.000203281,6.74E-04,2.68E-04
161,0.000332834,0.000208735,5.42E-04,1.24E-04
162,0.000419528,0.000204757,6.24E-04,2.15E-04
163,0.000249333,0.000271791,5.21E-04,-2.25E-05
164,0.000428242,0.000173213,6.01E-04,2.55E-04
165,0.000366182,0.000287107,6.53E-04,7.91E-05
166,0.00043311,0.000152118,5.85E-04,2.81E-04
167,0.000408271,0.000216498,6.25E-04,1.92E-04
168,0.000332705,0.000244,5.77E-04,8.87E-05
169,0.000428163,0.000239493,6.68E-04,1.89E-04
170,0.000247804,0.00021909,4.67E-04,2.87E-05
171,0.000410327,0.000231849,6.42E-04,1.78E-04
172,0.000245956,0.000211725,4.58E-04,3.42E-05
173,0.000482049,0.000286656,7.69E-04,1.95E-04
174,0.000294444,0.000189016,4.83E-04,1.05E-04
175,0.000437823,0.000264891,7.03E-04,1.73E-04
176,0.000345855,0.000138922,4.85E-04,2.07E-04
177,0.000410814,0.00021873,6.30E-04,1.92E-04
178,0.000309067,0.000184246,4.93E-04,1.25E-04
179,0.000353461,0.000222818,5.76E-04,1.31E-04
180,0.000339539,0.000217025,5.57E-04,1.23E-04
181,0.000341966,0.000238259,5.80E-04,1.04E-04
182,0.000392712,0.000202694,5.95E-04,1.90E-04
183,0.000306826,0.000270932,5.78E-04,3.59E-05
184,0.00043475,0.000195971,6.31E-04,2.39E-04
185,0.000289108,0.000310982,6.00E-04,-2.19E-05
186,0.000468841,0.000198903,6.68E-04,2.70E-04
187,0.00028545,0.000371267,6.57E-04,-8.58E-05
188,0.00049649,0.000214752,7.11E-04,2.82E-04
189,0.000250821,0.000225256,4.76E-04,2.56E-05
190,0.000617938,0.000162959,7.81E-04,4.55E-04
191,0.000306478,0.000242156,5.49E-04,6.43E-05
192,0.000666834,0.000222219,8.89E-04,4.45E-04
193,0.000400408,0.000386582,7.87E-04,1.38E-05
194,0.0007344,0.000344211,1.08E-03,3.90E-04
195,0.000412057,0.000223503,6.36E-04,1.89E-04
196,0.000871954,0.000591232,1.46E-03,2.81E-04
197,0.000556823,0.00040426,9.61E-04,1.53E-04
198,0.000695583,0.00024034,9.36E-04,4.55E-04
199,0.000663613,0.000587425,1.25E-03,7.62E-05
200,0.000783583,0.000333477,1.12E-03,4.50E-04
