step,R_mean,R_std
1,,
2,,
3,,
4,,
5,,
6,0.0006399127319455147,0.00025387635082006456
7,0.0003671725317835808,0.0002887473031878471
8,0.00083968985080719,0.00024393759506887756
9,0.0006006851732730865,0.0003097541097102269
10,0.0003552397573366761,0.00020023714990797175
11,7.028328946658543e-05,6.832760030910754e-05
12,2.7900308370590213e-05,2.2734449126881776e-05
13,2.8051001685006277e-05,2.0614436394413183e-05
14,4.2063568319593155e-05,2.1745921482286654e-05
15,4.930920260293143e-05,2.1431543762293146e-05
16,4.4308083398001534e-05,2.3586735027265914e-05
17,2.304363250732422e-05,1.5912334759171558e-05
18,2.7015388011932376e-05,9.990859356436337e-06
19,0.00018122439086437224,0.00034558981298716873
20,0.0002226764187216759,0.00035888789441171343
21,0.00027866226434707645,0.00037176418888992807
22,0.00040857793390750886,0.0006235491886435526
23,0.000751743569970131,0.00073705692589283
24,0.0007029073536396026,0.0006763330101966857
25,0.0006961538195610047,0.0006866042017936707
26,0.0007186953574419021,0.0006932389885187149
27,0.0007144057899713517,0.0006777371317148209
28,0.00014212294667959215,0.00010477610677480699
29,5.9624314308166505e-06,0.0
30,,
31,,
32,9.701848030090333e-07,0.0
33,,
34,,
35,4.983663558959961e-06,0.0
36,6.894409656524658e-06,0.0
37,0.0010220163762569429,0.0
38,0.0008814983665943146,0.0
39,0.00061135134100914,0.0
40,0.00030092018842697144,0.0
41,7.006914913654328e-05,5.0181880593299864e-05
42,6.0110092163085945e-06,1.6791224479675293e-06
43,0.0004660819669564565,0.0006348367916369539
44,0.0005416329006354014,0.0007293938558228689
45,0.0008248939812183381,0.0007773613035678864
46,0.0008384854793548585,0.0007928025126457214
47,0.0005516852438449859,0.0005422756373882294
48,0.0002933003765065223,0.00029192648944444957
49,0.00018630741536617278,0.00017083261907100674
50,9.859538078308105e-05,9.537196159362793e-05
51,5.994345247745514e-05,5.7968780398368836e-05
52,8.266107738018035e-05,5.9885516762733455e-05
53,0.00010589933395385743,0.0
54,8.851486444473267e-05,0.0
55,6.969267129898071e-05,0.0
56,5.0855040550231935e-05,0.0
57,5.38337230682373e-06,0.0
58,0.00023812296986579895,0.0
59,0.00014799365401268005,0.0
60,2.0905792713165282e-05,0.0
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,5.497395992279053e-06,0.0
73,1.5299201011657715e-05,0.0
74,1.7613232135772707e-05,0.0
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,0.0012897469401359559,0.0
101,0.0011228768229484558,0.0
102,0.0007625677585601807,0.0
103,0.0002094937041401863,0.00017241106182336807
104,0.00016485103964805604,0.0
105,0.0005906625986099244,0.000726469409143045
106,0.0008377216756343842,0.0008106894791126251
107,0.0009281138678391775,0.0006578833030811887
108,0.0007823542406161626,0.000663995250314428
109,0.0008846937716007233,0.0005430822074413299
110,0.0005467631965875625,0.0002939905375242233
111,0.00016337432463963826,0.00017121329030761822
112,0.00011681112647056578,0.00011496510501883199
113,8.007073402404785e-05,4.9735128879547114e-05
114,0.0004964937269687652,0.0006512654456790101
115,0.0006424052119255065,0.0006434629221856789
116,0.0007122100442647934,0.0006888122419884893
117,0.0004776318728923798,0.0005807938108004035
118,0.0006531309137741724,0.0005740346445422867
119,0.0007037610883514088,0.0005449856256109115
120,0.0007552125424146653,0.0006510953602205731
121,0.0005713402765492598,0.0005319409403790446
122,0.000549612346291542,0.0005114178780845235
