x,y,R_std,y_hi,y_lo
107,6.18E-05,5.08E-05,1.13E-04,1.10E-05
108,2.14E-05,1.65E-05,3.79E-05,4.90E-06
109,4.00E-05,3.47E-05,7.47E-05,5.30E-06
110,2.62E-05,2.01E-05,4.63E-05,6.10E-06
111,5.17E-05,4.49E-05,9.66E-05,6.80E-06
112,2.70E-05,2.41E-05,5.11E-05,2.90E-06
113,6.13E-05,4.86E-05,1.10E-04,1.27E-05
114,2.06E-05,1.54E-05,3.60E-05,5.20E-06
115,6.92E-05,3.81E-05,1.07E-04,3.11E-05
116,1.65E-05,7.45E-06,2.40E-05,9.05E-06
117,6.33E-05,3.71E-05,1.00E-04,2.62E-05
118,1.60E-05,8.36E-06,2.44E-05,7.64E-06
119,7.80E-05,4.03E-05,1.18E-04,3.77E-05
120,1.51E-05,9.62E-06,2.47E-05,5.48E-06
121,9.75E-05,1.42E-05,1.12E-04,8.33E-05
122,1.42E-05,9.65E-06,2.39E-05,4.55E-06
123,7.88E-05,4.16E-05,1.20E-04,3.72E-05
124,1.51E-05,7.08E-06,2.22E-05,8.02E-06
125,6.54E-05,3.48E-05,1.00E-04,3.06E-05
126,1.62E-05,8.20E-06,2.44E-05,8.00E-06
127,8.22E-05,3.08E-05,1.13E-04,5.14E-05
128,1.13E-05,9.09E-06,2.04E-05,2.21E-06
129,7.90E-05,3.80E-05,1.17E-04,4.10E-05
130,7.36E-06,4.15E-06,1.15E-05,3.21E-06
131,6.92E-05,4.19E-05,1.11E-04,2.73E-05
132,4.48E-06,3.29E-06,7.77E-06,1.19E-06
133,5.37E-05,4.65E-05,1.00E-04,7.20E-06
134,7.80E-06,1.01E-05,1.79E-05,-2.30E-06
135,6.24E-05,4.52E-05,1.08E-04,1.72E-05
136,4.61E-06,3.62E-06,8.23E-06,9.90E-07
137,5.12E-05,4.21E-05,9.33E-05,9.10E-06
138,1.09E-05,1.37E-05,2.46E-05,-2.80E-06
139,5.26E-05,3.91E-05,9.17E-05,1.35E-05
140,5.63E-06,3.53E-06,9.16E-06,2.10E-06
141,5.47E-05,3.97E-05,9.44E-05,1.50E-05
142,1.59E-05,9.42E-06,2.53E-05,6.48E-06
143,7.05E-05,3.02E-05,1.01E-04,4.03E-05
144,2.53E-05,2.58E-05,5.11E-05,-5.00E-07
145,6.87E-05,2.71E-05,9.58E-05,4.16E-05
146,1.62E-05,1.73E-05,3.35E-05,-1.10E-06
147,5.51E-05,3.39E-05,8.90E-05,2.12E-05
148,2.03E-05,7.30E-06,2.76E-05,1.30E-05
149,5.85E-05,2.82E-05,8.67E-05,3.03E-05
150,1.74E-05,1.18E-05,2.92E-05,5.60E-06
151,6.28E-05,2.79E-05,9.07E-05,3.49E-05
152,1.90E-05,1.72E-05,3.62E-05,1.80E-06
153,5.83E-05,2.92E-05,8.75E-05,2.91E-05
154,3.61E-05,3.72E-05,7.33E-05,-1.10E-06
155,6.17E-05,2.46E-05,8.63E-05,3.71E-05
156,4.50E-05,3.80E-05,8.30E-05,7.00E-06
157,6.50E-05,3.21E-05,9.71E-05,3.29E-05
158,4.26E-05,1.93E-05,6.19E-05,2.33E-05
159,6.95E-05,2.88E-05,9.83E-05,4.07E-05
160,6.31E-05,3.92E-05,1.02E-04,2.39E-05
161,6.63E-05,3.28E-05,9.91E-05,3.35E-05
162,6.83E-05,4.53E-05,1.14E-04,2.30E-05
163,5.54E-05,4.13E-05,9.67E-05,1.41E-05
164,6.74E-05,3.03E-05,9.77E-05,3.71E-05
165,6.32E-05,4.20E-05,1.05E-04,2.12E-05
166,6.79E-05,3.21E-05,1.00E-04,3.58E-05
167,7.77E-05,3.69E-05,1.15E-04,4.08E-05
168,6.99E-05,3.71E-05,1.07E-04,3.28E-05
169,8.25E-05,3.92E-05,1.22E-04,4.33E-05
170,6.92E-05,3.82E-05,1.07E-04,3.10E-05
171,6.63E-05,3.67E-05,1.03E-04,2.96E-05
172,6.39E-05,5.24E-05,1.16E-04,1.15E-05
173,6.99E-05,4.85E-05,1.18E-04,2.14E-05
174,5.27E-05,3.47E-05,8.74E-05,1.80E-05
175,6.35E-05,4.31E-05,1.07E-04,2.04E-05
176,4.94E-05,3.37E-05,8.31E-05,1.57E-05
177,7.60E-05,5.20E-05,1.28E-04,2.40E-05
178,5.41E-05,5.20E-05,1.06E-04,2.10E-06
179,7.05E-05,3.55E-05,1.06E-04,3.50E-05
180,5.01E-05,3.32E-05,8.33E-05,1.69E-05
181,8.09E-05,4.72E-05,1.28E-04,3.37E-05
182,5.97E-05,3.46E-05,9.43E-05,2.51E-05
183,8.24E-05,5.09E-05,1.33E-04,3.15E-05
184,7.23E-05,5.48E-05,1.27E-04,1.75E-05
185,7.88E-05,5.24E-05,1.31E-04,2.64E-05
186,5.48E-05,4.19E-05,9.67E-05,1.29E-05
187,0.000100067,4.53E-05,1.45E-04,5.48E-05
188,6.18E-05,4.33E-05,1.05E-04,1.85E-05
189,9.33E-05,4.26E-05,1.36E-04,5.07E-05
190,8.86E-05,4.48E-05,1.33E-04,4.38E-05
191,9.29E-05,4.97E-05,1.43E-04,4.32E-05
192,9.19E-05,3.85E-05,1.30E-04,5.34E-05
193,7.04E-05,6.31E-05,1.34E-04,7.30E-06
194,8.59E-05,1.97E-05,1.06E-04,6.62E-05
195,8.27E-05,6.46E-05,1.47E-04,1.81E-05
196,9.44E-05,4.13E-05,1.36E-04,5.31E-05
197,9.79E-05,5.06E-05,1.49E-04,4.73E-05
198,9.04E-05,5.64E-05,1.47E-04,3.40E-05
199,8.93E-05,4.58E-05,1.35E-04,4.35E-05
200,5.80E-05,5.41E-05,1.12E-04,3.90E-06
